AB 名称,AB文件大小,统计的AB内存Kb(估算),冗余内存 Kb(估算),依赖AB数,冗余资源数,   网格数,   材质球,    贴图数,着色器, 图集数,动作文件,音效
1024x1024,0,11584161,0,0,0,0,0,5,0,5,0,0
144x144,0,215777,0,0,0,0,0,5,0,5,0,0
2048_frame_gamestart,0,527993,0,0,0,0,0,1,0,1,0,0
2048_frame_green,0,80233,0,0,0,0,0,1,0,1,0,0
2048_zack_animation,0,9510,0,0,0,0,0,0,0,0,1,0
36x36,0,21060,0,0,0,0,0,5,0,5,0,0
48x48,0,30880,0,0,0,0,0,5,0,5,0,0
512x512,0,2639529,0,0,0,0,0,5,0,5,0,0
72x72,0,59966,0,0,0,0,0,5,0,5,0,0
96x96,0,100239,0,0,0,0,0,5,0,5,0,0
a_exp_item,0,20642,0,6,0,0,0,0,0,0,0,0
a_exp_item00,0,8196,0,0,0,0,0,0,0,0,1,0
a_exp_item01,0,8532,0,0,0,0,0,0,0,0,1,0
a_exp_item02,0,9092,0,0,0,0,0,0,0,0,1,0
a_exp_item03,0,8948,0,0,0,0,0,0,0,0,1,0
a_exp_item04,0,8996,0,0,0,0,0,0,0,0,1,0
a_exp_item05,0,8196,0,0,0,0,0,0,0,0,1,0
a_p_gold_transcript_shuiliu,0,22869,0,0,0,0,0,0,0,0,1,0
a_p_map_main_bar_cam_in_0,0,5812,0,0,0,0,0,0,0,0,1,0
a_p_map_main_bar_cam_in_1,0,5856,0,0,0,0,0,0,0,0,1,0
a_s_item_exp,0,15388,0,1,0,0,0,0,0,0,0,0
a_s_item_exp_1,0,9576,0,0,0,0,0,0,0,0,1,0
a_uisetnameprefab1,0,5529,0,0,0,0,0,0,0,0,1,0
a_warning_animation,0,39113,0,0,0,0,0,0,0,0,1,0
achievement_icon_1,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_10,0,29320,0,0,0,0,0,1,0,1,0,0
achievement_icon_11,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_12,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_13,0,29294,0,0,0,0,0,1,0,1,0,0
achievement_icon_14,0,29294,0,0,0,0,0,1,0,1,0,0
achievement_icon_15,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_16,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_17,0,29320,0,0,0,0,0,1,0,1,0,0
achievement_icon_18,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_19,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_2,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_20,0,112381,0,0,0,0,0,1,0,1,0,0
achievement_icon_21,0,112381,0,0,0,0,0,1,0,1,0,0
achievement_icon_22,0,112381,0,0,0,0,0,1,0,1,0,0
achievement_icon_3,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_4,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_5,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_6,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_7,0,29346,0,0,0,0,0,1,0,1,0,0
achievement_icon_8,0,29320,0,0,0,0,0,1,0,1,0,0
achievement_icon_9,0,29294,0,0,0,0,0,1,0,1,0,0
