动作名称,占用内存
10,0,eff_safe_attion
100,3576,eff_soldierm_03
10000,2108,kaidong_01
101,5368,eff_soldierf_02
102,4268,eff_soldierf_01
110,2300,eff_lingliu_01
112,2728,uiequipview
2048_zack_animation,0,2048_zack_animation
23,2300,eff_ryuhayabusa_sliding
38,0,eff_combo
39,4524,eff_combo
49,3836,eff_kai_02
5,2456,eff_01_grid
50,2200,guanxiang_01
52,2776,kaidong_01
55,2572,kaidong_02
58,3084,kaidong_03
60,2108,kaidong_01
61,2108,kaidong_02
62,2144,kaidong_02
64,2144,kaidong_03
66,2108,kaidong_03
68,6548,eff_huoche_ka
69,9448,eff_feiji_ka
70,9488,uirandomcardprefab
71,3456,eff_danka_02,eff_danka_03,uialbumbreakthrough,uidrawcardheroprefab,uiequippopup2prefab,uiequippopupprefab,uiherostarlevelpopup2prefab_new,uiherotopprefab_new,uirandomcard2prefab,uisignprefab,uiskillpopup2prefab
72,4072,uidrawcardheroprefab
73,2436,eff_earth_01,uidrawcardheroprefab
74,2368,eff_kuang_01
75,3308,eff_earth_02,uirandomcardprefab
76,3972,eff_level_01,eff_ui_zhuangbei_sj,uiherogradeprefab
77,3584,eff_addren_01
78,2280,uiherostarlevelprefab
79,2760,eff_addren_01
87,4480,uiequippopup2prefab,uiequippopupprefab,uiherostarlevelpopup2prefab,uiherostarlevelpopup2prefab_new,uiherotopprefab,uiherotopprefab_new
9,2504,eff_herobar_minskill,eff_herobar_uniqueskills
90,3108,eff_jiaxing_01,uiherocultivateprefab
96,2608,uiequipawaken
97,2404,uiequipupgrade
98,3872,eff_soldierm_02
99,2636,eff_soldierm_01
A_Buoy,2760,p_map_main_landingfield
A_Cloud,2540,p_map_main_landingfield
A_Cloud_roll,2200,p_map_main_landingfield
A_Damage_num,0,damagenum
A_EXP_Item00,2892,a_exp_item00
A_EXP_Item01,3224,a_exp_item01
A_EXP_Item02,3624,a_exp_item02
A_EXP_Item03,3476,a_exp_item03
A_EXP_Item04,3524,a_exp_item04
A_EXP_Item05,2892,a_exp_item05
A_FloatingPlate_Back,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Centre,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Centre_Left,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Centre_Right,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Failure_Back,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Failure_Fronnt,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Front,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Left,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_OFF,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_FloatingPlate_Right,0,p_map_main_pool_bluer,p_map_main_pool_green,p_map_main_pool_null,p_map_main_pool_red,p_map_main_pool_spacing_1,p_map_main_pool_yellow
A_Genfu_minskill,6204,eff_genfu_minskill
A_Genfu_uniqueskills,12740,eff_genfu_uniqueskills
A_Gold,0,s_diamond,s_gold
A_Honoka_minskill_model,2432,eff_honoka_minskill
A_Honoka_uniqueskills,3136,eff_honoka_uniqueskills
A_Honoka_uniqueskills_dlc,3236,eff_honoka_uniqueskills_dlc01
A_Image_frame3,2836,uiteamflairprefab
A_Image_libao_icon,2844,uioaguildbuyprefab,uivipprefab
A_LIGHT,0,p_map_main_demo_arenamaininterface
A_MAP_Main_Pool_Water02,2568,p_map_main_pool
